年份,上海市生产总值（亿元）,人均生产总值（元）,"人均生产总值指数

以1978年为100，以上年为100",,人均生产总值(美元),
1978.00,272.81,2485,100.0,114.9,1445,
1979.00,286.43,2556,105.3,105.3,1787,
1980.00,311.89,2725,111.8,106.2,1829,
1981.00,324.76,2800,116.5,104.2,1642,
1982.00,337.07,2864,123.0,105.6,1513,
1983.00,351.81,2947,130.7,106.3,1492,
1984.00,390.85,3232,144.0,110.2,1389,
1985.00,466.75,3811,161.3,112.0,1298,
1986.00,490.83,3956,166.1,103.0,1146,
1987.00,545.46,4340,176.2,106.1,1166,
1988.00,648.30,5080,191.0,108.4,1365,
1989.00,696.54,5362,193.3,101.2,1424,
1990.00,781.66,5911,196.6,101.7,1236,
1991.00,893.77,6661,207.6,105.6,1251,
1992.00,1114.32,8208,235.6,113.5,1488,
1993.00,1519.23,11061,268.1,113.8,1920,
1994.00,1990.86,14328,303.2,113.1,1662,
1995.00,2499.43,17779,342.3,112.9,2129,
1996.00,2957.55,20647,380.0,111.0,2483,
1997.00,3438.79,23397,417.6,109.9,2822,
1998.00,3801.09,25206,448.9,107.5,3045,
1999.00,4188.73,27071,483.0,107.6,3270,
2000.00,4771.17,30047,522.6,108.2,3630,
2001.00,5210.12,32333,569.1,108.9,3906,
2002.00,5741.03,35445,630.6,110.8,4282,
2003.00,6694.23,40130,687.4,109.0,4848,
2004.00,8072.83,46755,758.9,110.4,5649,
2005.00,9247.66,52535,829.5,109.3,6413,
2006.00,10572.24,58837,915.8,110.4,7381,
2007.00,12494.01,68024,1032.1,112.7,8946,
2008.00,14069.87,75109,1110.5,107.6,10815,
2009.00,15046.45,78989,1181.6,106.4,11563,
